Xgeometry,Ygeometry,Zgeometry,Navn,Reduceret,Bassinvolu,Udlednings,Bygværkst,Godkendels,Ejer,Idriftsat,Nedlagt,Vandmængd,Antal over,COD (kg),BI-5 (kg),Total-N (k,Total-P (k,HubName,HubDist
719365.999800000106916,6188216.003700000233948,nan,Ly R46,2.270000000000000,"10",Overløbsbygværk med bassin,OS,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"0",,"0","0","0",0.000000000000000,Novana_Model_MOELLEAA_DK1_6146.0,0.0797309158721792
719159.999799999990501,6189342.003700000233948,nan,Vi R2,124.299999999999997,"4681",Overløbsbygværk med bassin,OS,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"80193",,"14435","2406","962",160.386099999999999,Novana_Model_MOELLEAA_DK1_7124.0,0.274429063944104
721652.782399999909103,6189871.680700000375509,nan,UF01001,16.127674657688701,"0",Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900/01/01 00:00:00.000,Aktivt,"14006","7","2521","419","168",27.681012658227800,Novana_Model_MOELLEAA_DK1_10023.0,0.140432769041513
719397.999800000106916,6187160.003700000233948,nan,Ly R8F,2.910000000000000,"160",Overløbsbygværk med bassin,OS,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"0",,"0","0","0",0.000000000000000,Novana_Model_MOELLEAA_DK1_4657.0,0.170570239877601
720262.999799999990501,6189605.003700000233948,nan,Lu R4F,7.810000000000000,"540",Overløbsbygværk med bassin,OS,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"0",,"0","0","0",0.000000000000000,Novana_Model_MOELLEAA_DK1_8300.0,0.0313197473822915
719460.999799999990501,6186477.003699999302626,nan,Ly R15,1.531850000000000,"13",Overløbsbygværk med bassin,OS,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"2017",,"363","61","24",4.033565239000000,Novana_Model_MOELLEAA_DK1_4083.0,0.0227880963505318
719466.999799999990501,6186489.003700000233948,nan,Ly R16,138.699999999999989,"2200",Overløbsbygværk med bassin,OS,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"105411",,"18974","3162","1265",210.822589999999991,Novana_Model_MOELLEAA_DK1_4083.0,0.0254447398125811
719462.999799999990501,6186452.003700000233948,nan,Ly R18F,138.699999999999989,"13",Overløbsbygværk med bassin,OS,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"1998",,"360","60","24",3.996630600000000,Novana_Model_MOELLEAA_DK1_4083.0,0.0426588410284681
719921.999800000106916,6189414.003700000233948,nan,Lu R5F,7.250000000000000,"185",Overløbsbygværk med bassin,OS,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"0",,"0","0","0",0.000000000000000,Novana_Model_MOELLEAA_DK1_7828.0,0.0433524999224674
719532.999799999990501,6188240.003700000233948,nan,Ly R32F,3.750000000000000,"21",Overløbsbygværk med bassin,OS,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900/01/01 00:00:00.000,Aktivt,"0",,"0","0","0",0.000000000000000,Novana_Model_MOELLEAA_DK1_6146.0,0.0995086374602848
