,X,Y,EQS,Q,concentration
0,719059.583532627,6186520.0,False,0.0,0.02
1,719188.946378572,6186510.3227897,False,0.003503798449612403,11.5475842903037
2,719315.641005895,6186478.84231329,False,0.007007596899224806,22.725869280554555
3,719441.550472551,6186488.88726544,False,0.025036937984496126,77.96331646605152
4,719491.350775312,6186590.80620249,False,0.05014699612403101,142.91021940616687
5,719453.764019911,6186998.77203129,False,0.11137244186046512,274.47035976065985
6,719238.364338849,6187332.61234537,False,0.192786511627907,388.92789423206096
7,719180.676558039,6187454.501469,False,0.27420058139534886,427.21097534239567
8,719184.053789869,6187531.03600252,False,0.3558026744186047,412.3654239020184
9,719230.376159863,6187655.2003783,False,0.4427529844961241,376.81666441422834
10,719359.017779728,6187974.37481937,False,0.5297032945736435,328.3569378732572
11,719434.815481955,6188256.3006327,False,0.6166536046511629,281.49531930109055
12,719460.861684191,6188476.44896845,False,0.7036039147286823,241.72937898830583
13,719383.053473081,6188616.50374846,False,0.8243267829457366,246.2059913641967
14,719372.366405341,6188710.99216022,False,0.9450496511627908,228.12094063477088
15,719360.602463385,6188994.31310252,False,1.066038139534884,205.3139931100053
16,719346.05400506,6189140.20251897,False,1.1944326550387598,190.2771830571121
17,719505.475324297,6189388.51096258,False,1.3228271705426358,173.01205560289043
18,719607.261839532,6189392.5421117,False,1.570889534883721,243.27792462134258
19,719879.150063773,6189420.64188649,False,1.8398523255813954,247.6433567211787
20,720106.223826046,6189450.4094393,False,2.10881511627907,223.80044520588558
21,720181.229548414,6189583.0343958,False,2.3777779069767444,199.01669443090623
22,720238.951100352,6189625.07779618,False,2.649750562015504,179.536253205806
23,720347.916303156,6189641.4520759,False,3.07902257751938,228.18496265589852
24,720591.03361529,6189845.93025376,False,3.511276104651163,212.4355484750395
25,720884.236353333,6189866.822735,False,3.943529631782946,190.33113728333777
26,721149.502268021,6189722.624433,False,4.375783158914729,171.3684762761231
